ID,Weight,Sequence
1,1,001c_HeadLRupFullMed,022a_ShoulderLRupFullSlow,037a_FootLRupHalfSlow
2,1,002e_HeadLRupHalfFast
3,1,006e_HeadRupFullFast
4,1,006e_HeadRupFullFast,032e_FootRupLowFast,025a_ShoulderRotRHalfFast
5,1,007e_HeadLupHalfFast,033g_FootLupFullFast,017e_HandLRupTwitch
6,1,011c_HandRupTwitch
7,1,014e_HandLupLowFast
8,1,014g_HandLupTwitch
9,1,016e_HandLRupHalfFast,044e_ArmLeftUpFullFast
10,1,017e_HandLRupTwitch
11,1,019e_ShoulderRupHalfFast,005e_HeadRupLowFast
12,1,020e_ShoulderLupFullFast
13,1,020e_ShoulderLupFullFast,.25,011c_HandRupTwitch
14,1,022c_ShoulderLRupFullMed
15,1,031e_FootRupHalfFast
16,1,032e_FootRupLowFast
17,1,033i_FootLupFullFast2,016e_HandLRupHalfFast,044e_ArmLeftUpFullFast
18,1,034a_FootLupHalfSlow,022a_ShoulderLRupFullSlow,007a_HeadLupHalfSlow
19,1,034e_FootLupHalfFast,007e_HeadLupHalfFast,019e_ShoulderRupHalfFast
20,1,039c_HeadRotLFullMed,011c_HandRupTwitch
21,1,040i_HeadRotRHalfFast2
22,1,041g_HeadRotLHalfFast,017e_HandLRupTwitch
23,1,041i_HeadRotLHalfFast2
24,1,041i_HeadRotLHalfFast2,014e_HandLupLowFast
25,1,042g_HeadRotRLowFast,020e_ShoulderLupFullFast
26,1,042i_HeadRotRLowFast2
27,1,043g_HeadRotLLowFast,033g_FootLupFullFast
28,1,043i_HeadRotLLowFast2
