ID,Name,Sequence
1,1,014a_HandLupLowSlow,034c_FootLupHalfMed,045a_ArmLeftUpHalfSlow
2,1,011a_HandRupLowSlow,002a_HeadLRupHalfSlow
3,1,027e_ShoulderRotLHalfMed,031a_FootRupHalfSlow
4,1,037a_FootLRupHalfSlow
6,2,018a_ShoulderRupFullSlow
7,1,044a_ArmLeftUpFullSlow,016a_HandLRupHalfSlow
9,1,003a_HeadRupFullSlow,014a_HandLupLowSlow,034c_FootLupHalfMed,045a_ArmLeftUpHalfSlow
10,1,007a_HeadLupHalfSlow
