ID,Name,Sequence
1,1,001c_HeadLRupFullMed,009a_HandRupFullFast
2,1,001e_HeadLRupFullFast
3,2,002e_HeadLRupHalfFast,023e_ShoulderLRupHalfFast
4,2,003a_HeadRupFullSlow,014a_HandLupLowSlow,022a_ShoulderLRupFullSlow,045a_ArmLeftUpHalfSlow
5,1,003e_HeadRupFullFast
6,1,003e_HeadRupFullFast,013c_HandLupHalfFast,044e_ArmLeftUpFullFast
7,2,004e_HeadRupHalfFast,031e_FootRupHalfFast
8,2,005e_HeadRupLowFast,021e_ShoulderLupHalfFast,027c_ShoulderRotLHalfMed2
9,1,007e_HeadLupHalfFast
10,1,010a_HandRupHalfMed
11,1,013c_HandLupHalfFast,044c_ArmLeftUpFullMed
12,1,015c_HandLRupFullMed,.5,041a_HeadRotLHalfSlow,044c_ArmLeftUpFullMed
13,1,022a_ShoulderLRupFullSlow,017a_HandLRupLowSlow,045a_ArmLeftUpHalfSlow
14,1,023e_ShoulderLRupHalfFast
15,1,024a_ShoulderRotRFullFast
16,2,025c_ShoulderRotRHalfMed,014c_HandLupLowMed,045a_ArmLeftUpHalfSlow
17,1,026c_ShoulderRotLFullMed2
18,1,027a_ShoulderRotLHalfFast
19,1,039g_HeadRotLFullFast
20,1,040e_HeadRotRHalfMed2,010a_HandRupHalfMed
21,2,040g_HeadRotRHalfFast,014e_HandLupLowFast
22,1,041g_HeadRotLHalfFast
23,2,041i_HeadRotLHalfFast2,019e_ShoulderRupHalfFast
24,2,042e_HeadRotRLowMed2,018e_ShoulderRupFullFast
25,1,043i_HeadRotLLowFast2,035e_FootLupLowFast
