ID,Name,Sequence
1,2,001a_HeadLRupFullSlow
2,2,011a_HandRupLowSlow,030a_FootRupFullSlow
3,2,003a_HeadRupFullSlow,032a_FootRupLowSlow
4,1,033a_FootLupFullSlow,024e_ShoulderRotRFullSlow
5,2,011a_HandRupLowSlow
6,2,002a_HeadLRupHalfSlow
7,1,027g_ShoulderRotLHalfSlow
8,1,030a_FootRupFullSlow,003a_HeadRupFullSlow
9,1,007a_HeadLupHalfSlow
10,0.25,046a_Reset
